Disease,Description,Medications,Precautions
Hypothyroidism,"A condition where the thyroid gland doesn't produce enough thyroid hormone.","Levothyroxine (Thyronorm), Liothyronine","Take thyroid medication on an empty stomach, Eat an iodine-rich diet, Monitor weight regularly, Check TSH levels periodically"
General Viral Fever,"A general term for any fever caused by a viral infection rather than bacteria.","Paracetamol, Ibuprofen, Electrolytes","Rest, Stay hydrated, Keep a temperature log, Consult a doctor if fever lasts >3 days"
Tuberculosis,"An infectious bacterial disease characterized by the growth of nodules in the tissues, especially the lungs.","Isoniazid, Rifampin, Ethambutol, Pyrazinamide","Cover mouth when coughing, Stay in a well-ventilated room, Complete the 6-month medicine course, Wear a mask"
Alcoholic hepatitis,"Inflammation of the liver caused by drinking alcohol.","Corticosteroids, Pentoxifylline, Vitamin Supplements","Stop drinking alcohol immediately, Eat a nutrient-rich diet, Consult a hepatologist, Stay hydrated"
Heart attack,"A blockage of blood flow to the heart muscle.","Aspirin, Clopidogrel, Nitroglycerin, Statins","Call emergency services immediately, Stay calm and rest, Do not exert yourself, Chew aspirin if advised by a doctor"
Dimorphic hemorrhoids(piles),"Swollen and inflamed veins in the rectum and anus that cause discomfort and bleeding.","Hydrocortisone cream, Lidocaine, Witch hazel pads, Psyllium husk","Eat high-fiber foods, Drink plenty of water, Do not strain during bowel movements, Take warm sitz baths"
Hyperthyroidism,"The overproduction of a hormone by the butterfly-shaped gland in the neck (thyroid).","Methimazole, Propylthiouracil, Beta blockers","Avoid excess iodine in diet, Manage stress, Practice relaxation techniques, Regular thyroid function tests"
Hypoglycemia,"A condition in which your blood sugar (glucose) level is lower than normal.","Glucose tablets, Glucagon injection, Dextrose","Carry fast-acting carbohydrates, Do not skip meals, Monitor blood sugar tightly, Avoid excess alcohol on empty stomach"
Osteoarthristis,"A type of arthritis that occurs when flexible tissue at the ends of bones wears down.","Acetaminophen, NSAIDs (Ibuprofen), Duloxetine, Capsaicin cream","Maintain a healthy weight, Low-impact exercise like swimming, Use hot/cold therapy, Rest affected joints"
Arthritis,"Inflammation of one or more joints, causing pain and stiffness that can worsen with age.","Methotrexate, Adalimumab, Celecoxib, Corticosteroid injections","Gentle daily stretching, Anti-inflammatory diet, Apply heat or ice, Consult a rheumatologist"
(vertigo) Paroymsal  Positional Vertigo,"Episodes of dizziness and a sensation of spinning with certain head movements.","Meclizine, Promethazine, Diazepam","Perform Epley maneuver safely, Change head positions slowly, Sit down when feeling dizzy, Keep lighting bright at night to avoid falls"
Acne,"A skin condition that occurs when hair follicles plug with oil and dead skin cells.","Benzoyl peroxide, Salicylic acid, Adapalene (Differin), Isotretinoin","Wash face twice daily, Do not pop pimples, Use non-comedogenic cosmetics, Avoid excessive sun exposure"
Urinary tract infection,"An infection in any part of the urinary system, the kidneys, bladder, or urethra.","Nitrofurantoin, Sulfamethoxazole-trimethoprim, Fosfomycin, Ciprofloxacin","Drink adequate water, Wipe front to back, Urinate after intercourse, Avoid irritating feminine products"
Psoriasis,"A condition in which skin cells build up and form scales and itchy, dry patches.","Topical corticosteroids, Calcipotriene, Coal tar, Biologics (Taltz)","Moisturize skin daily, Manage stress, Limit alcohol intake, Avoid cold and dry weather"
Impetigo,"A highly contagious skin infection that causes red sores on the face.","Mupirocin ointment, Retapamulin, Oral Cephalexin","Wash sores with soap and water, Do not scratch, Wash hands actively, Keep child home from school"
Hepatitis B,"A serious liver infection caused by the hepatitis B virus that's easily preventable by a vaccine.","Entecavir, Tenofovir, Interferon alfa-2b","Avoid sexual contact without condoms, Do not share needles, Get the Hep B vaccine, Monitor liver enzymes"
Hepatitis C,"An infection caused by a virus that attacks the liver and leads to inflammation.","Sofosbuvir, Velpatasvir, Ledipasvir","Avoid alcohol, Avoid medications processed by liver, Do not share personal razors or toothbrushes, Get screened if high risk"
Hepatitis D,"A serious liver disease caused by infection with the hepatitis D virus, occurs only in people infected with Hep B.","Pegylated interferon alpha","Prevent Hepatitis B infection, Avoid liver-damaging substances, Absolute clinical monitoring, Rest"
Hepatitis E,"A liver disease caused by the hepatitis E virus, mainly transmitted through contaminated water.","Ribavirin (in severe cases)","Boil drinking water, practice highly safe food hygiene, Avoid undercooked meat, Rest significantly"
